Name,Traits,Free Hours
Berte,Communicative[2];Diplomatic[2];Collaborative[2];Procrastinator[-3];Micromanaging[-2],18
Katusha,Strategic[3];Leadership[4];Empathetic[3];Conflict-Averse[-2];Perfectionist (to a fault)[-1],5
Georgeta,Strategic[3];Time-Manager[3];Analytical[3];Resistant to Change[-2];Stubborn[-1],40
Damara,Communicative[2];Logical[3];Empathetic[3];Micromanaging[-2];Procrastinator[-3],8
Dyan,Problem-Solver[3];Empathetic[3];Time-Manager[3];Unempathetic[-2];Easily Distracted[-1],4
Goldarina,Communicative[2];Flexible[2];Supportive[2];Impulsive[-1];Moody[-1],39
Cahra,Logical[3];Time-Manager[3];Detail-Oriented[3];Skeptical[-1];Unempathetic[-2],40
Eddi,Detail-Oriented[3];Collaborative[2];Creative Thinker[2];Resistant to Change[-2];Unempathetic[-2],39
Dian,Organized[2];Strategic[3];Diplomatic[2];Moody[-1];Pessimistic[-1],1
Korry,Diplomatic[2];Flexible[2];Time-Manager[3];Aloof[-1];Moody[-1],20
Ellene,Mediator[2];Resourceful[2];Problem-Solver[3];Unempathetic[-2];Skeptical[-1],14
Lonna,Leadership[4];Diplomatic[2];Strategic[3];Perfectionist (to a fault)[-1];Dismissive[-2],17
Bernardina,Empathetic[3];Collaborative[2];Strategic[3];Impatient[-1];Overbearing[-1],21
Maryanna,Organized[2];Communicative[2];Reliable[3];Impulsive[-1];Overly Critical[-2],30
Romona,Organized[2];Diplomatic[2];Strategic[3];Dismissive[-2];Conflict-Averse[-2],11
Jessica,Communicative[2];Creative Thinker[2];Time-Manager[3];Micromanaging[-2];Uncooperative[-2],21
Gerrie,Problem-Solver[3];Collaborative[2];Diplomatic[2];Overly Critical[-2];Aloof[-1],20
Hinda,Detail-Oriented[3];Logical[3];Collaborative[2];Resistant to Change[-2];Impulsive[-1],18
Shelly,Collaborative[2];Diplomatic[2];Leadership[4];Impatient[-1];Resistant to Change[-2],1
Noelle,Leadership[4];Strategic[3];Time-Manager[3];Unempathetic[-2];Aloof[-1],19
Margaux,Leadership[4];Reliable[3];Problem-Solver[3];Pessimistic[-1];Defensive[-1],10
Corie,Reliable[3];Mediator[2];Leadership[4];Stubborn[-1];Aloof[-1],12
Loutitia,Time-Manager[3];Diplomatic[2];Leadership[4];Easily Distracted[-1];Resistant to Change[-2],6
Mareah,Diplomatic[2];Tech-Savvy[2];Flexible[2];Conflict-Averse[-2];Intolerant[-2],36
Cyndy,Strategic[3];Diplomatic[2];Tech-Savvy[2];Rigid[-2];Easily Distracted[-1],7
Loren,Creative Thinker[2];Organized[2];Leadership[4];Narrow-Minded[-2];Pessimistic[-1],25
Cory,Leadership[4];Analytical[3];Problem-Solver[3];Unempathetic[-2];Pessimistic[-1],6
Bobbe,Leadership[4];Detail-Oriented[3];Strategic[3];Uncooperative[-2];Easily Distracted[-1],8
Blakeley,Flexible[2];Reliable[3];Creative Thinker[2];Overbearing[-1];Narrow-Minded[-2],5
Felecia,Strategic[3];Time-Manager[3];Supportive[2];Micromanaging[-2];Easily Distracted[-1],4
Kimmy,Supportive[2];Logical[3];Creative Thinker[2];Skeptical[-1];Overbearing[-1],37
Fallon,Supportive[2];Creative Thinker[2];Empathetic[3];Stubborn[-1];Narrow-Minded[-2],12
Theresita,Mediator[2];Creative Thinker[2];Supportive[2];Skeptical[-1];Unreliable[-3],1
Anallese,Empathetic[3];Innovative[2];Resourceful[2];Skeptical[-1];Impatient[-1],9
Elinore,Communicative[2];Strategic[3];Flexible[2];Overly Critical[-2];Dismissive[-2],7
Katherina,Reliable[3];Organized[2];Logical[3];Micromanaging[-2];Overbearing[-1],32
Karyl,Analytical[3];Flexible[2];Collaborative[2];Micromanaging[-2];Non-communicative[-2],35
Blakeley,Problem-Solver[3];Collaborative[2];Mediator[2];Moody[-1];Stubborn[-1],28
Flossy,Tech-Savvy[2];Leadership[4];Reliable[3];Defensive[-1];Impulsive[-1],39
Phebe,Detail-Oriented[3];Analytical[3];Time-Manager[3];Passive[-1];Overly Critical[-2],40
Devonna,Supportive[2];Strategic[3];Creative Thinker[2];Non-communicative[-2];Impatient[-1],38
Lauri,Logical[3];Tech-Savvy[2];Mediator[2];Intolerant[-2];Pessimistic[-1],26
Sybilla,Innovative[2];Leadership[4];Empathetic[3];Pessimistic[-1];Overly Competitive[-1],16
Amil,Analytical[3];Innovative[2];Tech-Savvy[2];Conflict-Averse[-2];Passive[-1],16
Elka,Innovative[2];Detail-Oriented[3];Diplomatic[2];Conflict-Averse[-2];Rigid[-2],9
Theressa,Time-Manager[3];Communicative[2];Creative Thinker[2];Skeptical[-1];Impatient[-1],9
Evita,Innovative[2];Reliable[3];Organized[2];Skeptical[-1];Conflict-Averse[-2],29
Enrica,Time-Manager[3];Collaborative[2];Creative Thinker[2];Uncooperative[-2];Procrastinator[-3],35
Adelice,Reliable[3];Leadership[4];Supportive[2];Dismissive[-2];Impulsive[-1],33
Tamera,Time-Manager[3];Organized[2];Resourceful[2];Narrow-Minded[-2];Micromanaging[-2],10
Sheilah,Time-Manager[3];Organized[2];Logical[3];Defensive[-1];Overly Critical[-2],25
Kelcey,Resourceful[2];Collaborative[2];Tech-Savvy[2];Intolerant[-2];Uncooperative[-2],12
Ibby,Creative Thinker[2];Logical[3];Time-Manager[3];Impatient[-1];Rigid[-2],28
Morgana,Time-Manager[3];Tech-Savvy[2];Reliable[3];Impulsive[-1];Micromanaging[-2],30
Willabella,Logical[3];Tech-Savvy[2];Supportive[2];Moody[-1];Unreliable[-3],27
Kirsteni,Tech-Savvy[2];Communicative[2];Innovative[2];Skeptical[-1];Impulsive[-1],14
Leeanne,Strategic[3];Diplomatic[2];Time-Manager[3];Rigid[-2];Non-communicative[-2],30
Gelya,Analytical[3];Reliable[3];Empathetic[3];Unempathetic[-2];Overly Critical[-2],30
Jenni,Collaborative[2];Problem-Solver[3];Leadership[4];Passive[-1];Skeptical[-1],10
Nanci,Creative Thinker[2];Reliable[3];Detail-Oriented[3];Unreliable[-3];Moody[-1],38
Mathilde,Communicative[2];Creative Thinker[2];Resourceful[2];Aloof[-1];Impatient[-1],33
Cindi,Communicative[2];Creative Thinker[2];Empathetic[3];Stubborn[-1];Moody[-1],37
Mercie,Mediator[2];Problem-Solver[3];Tech-Savvy[2];Rigid[-2];Perfectionist (to a fault)[-1],31
Ophelia,Resourceful[2];Supportive[2];Mediator[2];Unempathetic[-2];Skeptical[-1],4
Salome,Time-Manager[3];Reliable[3];Detail-Oriented[3];Moody[-1];Defensive[-1],5
Mamie,Logical[3];Innovative[2];Communicative[2];Stubborn[-1];Rigid[-2],20
Hyacinthia,Communicative[2];Collaborative[2];Leadership[4];Defensive[-1];Perfectionist (to a fault)[-1],36
Corene,Problem-Solver[3];Organized[2];Mediator[2];Overly Competitive[-1];Aloof[-1],24
Shea,Strategic[3];Leadership[4];Reliable[3];Non-communicative[-2];Resistant to Change[-2],4
Missie,Flexible[2];Logical[3];Supportive[2];Micromanaging[-2];Procrastinator[-3],20
Prudi,Flexible[2];Empathetic[3];Mediator[2];Impatient[-1];Overly Critical[-2],32
Mavis,Flexible[2];Tech-Savvy[2];Supportive[2];Pessimistic[-1];Dismissive[-2],5
Gray,Mediator[2];Resourceful[2];Supportive[2];Stubborn[-1];Non-communicative[-2],32
Aubrette,Organized[2];Flexible[2];Strategic[3];Overly Competitive[-1];Conflict-Averse[-2],12
Josefa,Empathetic[3];Communicative[2];Supportive[2];Micromanaging[-2];Overly Competitive[-1],4
Nina,Organized[2];Time-Manager[3];Collaborative[2];Unreliable[-3];Dismissive[-2],22
Anstice,Mediator[2];Empathetic[3];Supportive[2];Indecisive[-2];Procrastinator[-3],31
Francisca,Analytical[3];Reliable[3];Problem-Solver[3];Pessimistic[-1];Indecisive[-2],36
Wally,Mediator[2];Supportive[2];Detail-Oriented[3];Rigid[-2];Non-communicative[-2],1
Nelle,Logical[3];Empathetic[3];Detail-Oriented[3];Non-communicative[-2];Intolerant[-2],28
Amara,Mediator[2];Detail-Oriented[3];Innovative[2];Indecisive[-2];Procrastinator[-3],24
Blisse,Flexible[2];Tech-Savvy[2];Creative Thinker[2];Impulsive[-1];Intolerant[-2],35
Oralie,Flexible[2];Supportive[2];Detail-Oriented[3];Non-communicative[-2];Stubborn[-1],20
Mignon,Leadership[4];Organized[2];Detail-Oriented[3];Skeptical[-1];Overly Critical[-2],16
Cherri,Collaborative[2];Supportive[2];Problem-Solver[3];Defensive[-1];Skeptical[-1],18
Juana,Resourceful[2];Mediator[2];Diplomatic[2];Overly Competitive[-1];Uncooperative[-2],40
Dasya,Leadership[4];Flexible[2];Collaborative[2];Procrastinator[-3];Intolerant[-2],37
Hanny,Mediator[2];Organized[2];Detail-Oriented[3];Defensive[-1];Perfectionist (to a fault)[-1],37
Rowe,Innovative[2];Analytical[3];Creative Thinker[2];Moody[-1];Conflict-Averse[-2],8
Melli,Flexible[2];Empathetic[3];Detail-Oriented[3];Micromanaging[-2];Pessimistic[-1],26
Cloe,Communicative[2];Diplomatic[2];Flexible[2];Perfectionist (to a fault)[-1];Indecisive[-2],32
Alis,Supportive[2];Tech-Savvy[2];Strategic[3];Dismissive[-2];Procrastinator[-3],17
Violetta,Communicative[2];Time-Manager[3];Creative Thinker[2];Narrow-Minded[-2];Passive[-1],10
Kippy,Diplomatic[2];Reliable[3];Problem-Solver[3];Indecisive[-2];Skeptical[-1],17
Jeannette,Logical[3];Strategic[3];Innovative[2];Pessimistic[-1];Defensive[-1],9
Orella,Collaborative[2];Supportive[2];Time-Manager[3];Rigid[-2];Impulsive[-1],34
Franny,Flexible[2];Supportive[2];Empathetic[3];Uncooperative[-2];Stubborn[-1],30
Sascha,Strategic[3];Collaborative[2];Diplomatic[2];Dismissive[-2];Conflict-Averse[-2],13
Anabel,Detail-Oriented[3];Problem-Solver[3];Supportive[2];Unempathetic[-2];Impatient[-1],0
Isa,Analytical[3];Diplomatic[2];Reliable[3];Unreliable[-3];Easily Distracted[-1],22
Shirl,Strategic[3];Leadership[4];Collaborative[2];Unreliable[-3];Defensive[-1],4
Prudence,Analytical[3];Supportive[2];Problem-Solver[3];Overly Competitive[-1];Rigid[-2],30
Michelle,Resourceful[2];Empathetic[3];Time-Manager[3];Conflict-Averse[-2];Defensive[-1],40
Sybille,Detail-Oriented[3];Resourceful[2];Strategic[3];Moody[-1];Passive[-1],37
Candie,Supportive[2];Detail-Oriented[3];Diplomatic[2];Procrastinator[-3];Skeptical[-1],24
Agneta,Supportive[2];Flexible[2];Problem-Solver[3];Impatient[-1];Dismissive[-2],25
Ree,Time-Manager[3];Strategic[3];Supportive[2];Perfectionist (to a fault)[-1];Resistant to Change[-2],3
Mariele,Detail-Oriented[3];Leadership[4];Communicative[2];Passive[-1];Rigid[-2],8
Ariana,Leadership[4];Empathetic[3];Analytical[3];Dismissive[-2];Unempathetic[-2],30
Minna,Reliable[3];Flexible[2];Communicative[2];Passive[-1];Stubborn[-1],11
Susan,Strategic[3];Mediator[2];Leadership[4];Moody[-1];Rigid[-2],23
Halli,Mediator[2];Tech-Savvy[2];Communicative[2];Skeptical[-1];Intolerant[-2],0
Francyne,Time-Manager[3];Collaborative[2];Creative Thinker[2];Narrow-Minded[-2];Skeptical[-1],25
Aprilette,Tech-Savvy[2];Resourceful[2];Empathetic[3];Impatient[-1];Perfectionist (to a fault)[-1],31
Dode,Collaborative[2];Time-Manager[3];Flexible[2];Aloof[-1];Overly Critical[-2],33
Clarice,Innovative[2];Problem-Solver[3];Strategic[3];Impatient[-1];Aloof[-1],37
Zilvia,Organized[2];Strategic[3];Resourceful[2];Overbearing[-1];Narrow-Minded[-2],8
Faye,Time-Manager[3];Communicative[2];Innovative[2];Aloof[-1];Defensive[-1],22
Theodosia,Leadership[4];Creative Thinker[2];Diplomatic[2];Passive[-1];Easily Distracted[-1],7
Maitilde,Problem-Solver[3];Resourceful[2];Collaborative[2];Impulsive[-1];Non-communicative[-2],32
Alli,Diplomatic[2];Detail-Oriented[3];Problem-Solver[3];Moody[-1];Unempathetic[-2],29
Lorene,Detail-Oriented[3];Analytical[3];Supportive[2];Unempathetic[-2];Overly Competitive[-1],12
Jacenta,Logical[3];Tech-Savvy[2];Detail-Oriented[3];Intolerant[-2];Aloof[-1],18
Myriam,Detail-Oriented[3];Strategic[3];Empathetic[3];Dismissive[-2];Passive[-1],20
Shoshana,Supportive[2];Analytical[3];Problem-Solver[3];Skeptical[-1];Easily Distracted[-1],4
Teresina,Communicative[2];Analytical[3];Innovative[2];Procrastinator[-3];Micromanaging[-2],33
Joanna,Flexible[2];Collaborative[2];Reliable[3];Stubborn[-1];Narrow-Minded[-2],29
Blancha,Empathetic[3];Communicative[2];Analytical[3];Moody[-1];Impulsive[-1],19
Constantine,Problem-Solver[3];Mediator[2];Leadership[4];Procrastinator[-3];Dismissive[-2],25
Alison,Strategic[3];Communicative[2];Mediator[2];Intolerant[-2];Non-communicative[-2],27
Maribelle,Logical[3];Innovative[2];Flexible[2];Overbearing[-1];Unempathetic[-2],38
Klarika,Strategic[3];Collaborative[2];Problem-Solver[3];Indecisive[-2];Conflict-Averse[-2],1
Janette,Diplomatic[2];Resourceful[2];Reliable[3];Conflict-Averse[-2];Non-communicative[-2],36
Gusta,Collaborative[2];Detail-Oriented[3];Mediator[2];Indecisive[-2];Dismissive[-2],7
Mahala,Supportive[2];Analytical[3];Organized[2];Micromanaging[-2];Indecisive[-2],39
Lucita,Detail-Oriented[3];Leadership[4];Supportive[2];Perfectionist (to a fault)[-1];Defensive[-1],2
Adrienne,Problem-Solver[3];Empathetic[3];Strategic[3];Stubborn[-1];Impatient[-1],30
Johnna,Leadership[4];Innovative[2];Problem-Solver[3];Intolerant[-2];Skeptical[-1],38
Maria,Communicative[2];Innovative[2];Collaborative[2];Intolerant[-2];Overbearing[-1],15
Brita,Resourceful[2];Problem-Solver[3];Logical[3];Moody[-1];Passive[-1],35
Jeanette,Reliable[3];Flexible[2];Resourceful[2];Perfectionist (to a fault)[-1];Resistant to Change[-2],40
Mara,Strategic[3];Communicative[2];Mediator[2];Impatient[-1];Intolerant[-2],34
Amalie,Communicative[2];Problem-Solver[3];Diplomatic[2];Procrastinator[-3];Micromanaging[-2],11
Kordula,Tech-Savvy[2];Mediator[2];Resourceful[2];Impulsive[-1];Uncooperative[-2],7
Clerissa,Leadership[4];Resourceful[2];Analytical[3];Stubborn[-1];Passive[-1],33
Auroora,Detail-Oriented[3];Leadership[4];Mediator[2];Perfectionist (to a fault)[-1];Unempathetic[-2],30
Zena,Tech-Savvy[2];Problem-Solver[3];Empathetic[3];Indecisive[-2];Passive[-1],18
Aura,Resourceful[2];Time-Manager[3];Communicative[2];Perfectionist (to a fault)[-1];Moody[-1],38
Torey,Tech-Savvy[2];Analytical[3];Resourceful[2];Stubborn[-1];Impatient[-1],7
Serena,Analytical[3];Supportive[2];Time-Manager[3];Impatient[-1];Aloof[-1],12
Jodee,Organized[2];Detail-Oriented[3];Empathetic[3];Aloof[-1];Impulsive[-1],39
Sidoney,Resourceful[2];Collaborative[2];Communicative[2];Impatient[-1];Procrastinator[-3],35
Pearline,Logical[3];Communicative[2];Problem-Solver[3];Pessimistic[-1];Easily Distracted[-1],14
Lind,Time-Manager[3];Logical[3];Creative Thinker[2];Skeptical[-1];Micromanaging[-2],11
Odessa,Tech-Savvy[2];Leadership[4];Mediator[2];Uncooperative[-2];Non-communicative[-2],1
Roobbie,Innovative[2];Problem-Solver[3];Leadership[4];Perfectionist (to a fault)[-1];Procrastinator[-3],26
Anetta,Detail-Oriented[3];Collaborative[2];Reliable[3];Aloof[-1];Pessimistic[-1],33
Lauralee,Tech-Savvy[2];Flexible[2];Empathetic[3];Uncooperative[-2];Unempathetic[-2],20
Dela,Supportive[2];Mediator[2];Flexible[2];Defensive[-1];Intolerant[-2],36
Allegra,Innovative[2];Strategic[3];Time-Manager[3];Overly Competitive[-1];Passive[-1],6
Katharine,Tech-Savvy[2];Leadership[4];Empathetic[3];Pessimistic[-1];Rigid[-2],23
Deena,Innovative[2];Tech-Savvy[2];Flexible[2];Resistant to Change[-2];Easily Distracted[-1],9
Carolyn,Collaborative[2];Strategic[3];Reliable[3];Moody[-1];Unreliable[-3],11
Anthea,Mediator[2];Leadership[4];Logical[3];Impulsive[-1];Impatient[-1],31
Eustacia,Strategic[3];Flexible[2];Problem-Solver[3];Narrow-Minded[-2];Overbearing[-1],6
Gale,Empathetic[3];Collaborative[2];Time-Manager[3];Non-communicative[-2];Impatient[-1],39
Deanne,Logical[3];Resourceful[2];Innovative[2];Narrow-Minded[-2];Passive[-1],28
Emelia,Problem-Solver[3];Time-Manager[3];Diplomatic[2];Overly Critical[-2];Overbearing[-1],11
Breena,Tech-Savvy[2];Logical[3];Creative Thinker[2];Easily Distracted[-1];Unempathetic[-2],26
Judye,Supportive[2];Tech-Savvy[2];Innovative[2];Dismissive[-2];Unreliable[-3],3
Phaidra,Tech-Savvy[2];Innovative[2];Communicative[2];Resistant to Change[-2];Moody[-1],20
Albertine,Flexible[2];Logical[3];Detail-Oriented[3];Micromanaging[-2];Impatient[-1],2
Neala,Leadership[4];Creative Thinker[2];Tech-Savvy[2];Indecisive[-2];Rigid[-2],7
Ammamaria,Innovative[2];Flexible[2];Tech-Savvy[2];Overly Competitive[-1];Aloof[-1],27
Oneida,Empathetic[3];Leadership[4];Tech-Savvy[2];Impulsive[-1];Procrastinator[-3],34
Elianore,Reliable[3];Communicative[2];Flexible[2];Uncooperative[-2];Defensive[-1],22
Micki,Detail-Oriented[3];Flexible[2];Communicative[2];Overbearing[-1];Impatient[-1],31
Dulce,Logical[3];Problem-Solver[3];Supportive[2];Skeptical[-1];Overly Critical[-2],4
Carla,Leadership[4];Tech-Savvy[2];Mediator[2];Procrastinator[-3];Impulsive[-1],16
Ericha,Time-Manager[3];Resourceful[2];Reliable[3];Non-communicative[-2];Impulsive[-1],25
Cherrita,Creative Thinker[2];Innovative[2];Logical[3];Overly Competitive[-1];Easily Distracted[-1],14
Kalina,Resourceful[2];Logical[3];Supportive[2];Impulsive[-1];Conflict-Averse[-2],20
Hetty,Supportive[2];Problem-Solver[3];Leadership[4];Procrastinator[-3];Defensive[-1],37
Doti,Empathetic[3];Leadership[4];Detail-Oriented[3];Rigid[-2];Impatient[-1],4
Ingaberg,Collaborative[2];Logical[3];Mediator[2];Dismissive[-2];Aloof[-1],38
Rozamond,Supportive[2];Logical[3];Flexible[2];Intolerant[-2];Pessimistic[-1],26
Twyla,Analytical[3];Leadership[4];Resourceful[2];Skeptical[-1];Procrastinator[-3],27
Mead,Problem-Solver[3];Collaborative[2];Reliable[3];Dismissive[-2];Defensive[-1],11
Jorey,Detail-Oriented[3];Leadership[4];Problem-Solver[3];Overly Competitive[-1];Overbearing[-1],38
Cass,Detail-Oriented[3];Creative Thinker[2];Communicative[2];Overbearing[-1];Indecisive[-2],37
Crin,Logical[3];Mediator[2];Analytical[3];Stubborn[-1];Rigid[-2],15
Iormina,Tech-Savvy[2];Problem-Solver[3];Communicative[2];Non-communicative[-2];Micromanaging[-2],24
Rosmunda,Empathetic[3];Resourceful[2];Organized[2];Resistant to Change[-2];Overly Competitive[-1],39
Raynell,Diplomatic[2];Innovative[2];Organized[2];Unempathetic[-2];Micromanaging[-2],32
Dulce,Creative Thinker[2];Leadership[4];Resourceful[2];Easily Distracted[-1];Non-communicative[-2],24
Sallee,Flexible[2];Reliable[3];Organized[2];Impatient[-1];Easily Distracted[-1],23
Pollyanna,Organized[2];Collaborative[2];Time-Manager[3];Intolerant[-2];Overly Competitive[-1],3
Carissa,Collaborative[2];Time-Manager[3];Creative Thinker[2];Narrow-Minded[-2];Indecisive[-2],19
Terra,Diplomatic[2];Supportive[2];Communicative[2];Unempathetic[-2];Overly Competitive[-1],33
Melony,Analytical[3];Communicative[2];Detail-Oriented[3];Impulsive[-1];Procrastinator[-3],0
Cinda,Strategic[3];Communicative[2];Organized[2];Impatient[-1];Overly Competitive[-1],30
Isabel,Analytical[3];Mediator[2];Strategic[3];Passive[-1];Easily Distracted[-1],25
Mala,Creative Thinker[2];Reliable[3];Flexible[2];Overbearing[-1];Perfectionist (to a fault)[-1],5
Reiko,Detail-Oriented[3];Innovative[2];Creative Thinker[2];Intolerant[-2];Resistant to Change[-2],37
Ilsa,Time-Manager[3];Resourceful[2];Diplomatic[2];Rigid[-2];Defensive[-1],11
Fifine,Resourceful[2];Creative Thinker[2];Diplomatic[2];Dismissive[-2];Impulsive[-1],36
Celinda,Creative Thinker[2];Flexible[2];Strategic[3];Overly Competitive[-1];Intolerant[-2],11
Stefanie,Leadership[4];Logical[3];Problem-Solver[3];Perfectionist (to a fault)[-1];Conflict-Averse[-2],27
Aurie,Logical[3];Time-Manager[3];Problem-Solver[3];Rigid[-2];Moody[-1],11
Claudia,Diplomatic[2];Resourceful[2];Innovative[2];Conflict-Averse[-2];Intolerant[-2],4
Kate,Resourceful[2];Collaborative[2];Strategic[3];Uncooperative[-2];Unreliable[-3],2
Desirae,Empathetic[3];Creative Thinker[2];Flexible[2];Narrow-Minded[-2];Micromanaging[-2],12
Wendye,Empathetic[3];Resourceful[2];Innovative[2];Narrow-Minded[-2];Passive[-1],40
Malorie,Resourceful[2];Strategic[3];Leadership[4];Pessimistic[-1];Impatient[-1],1
Rosalynd,Tech-Savvy[2];Communicative[2];Creative Thinker[2];Overbearing[-1];Non-communicative[-2],30
Brandise,Detail-Oriented[3];Innovative[2];Problem-Solver[3];Non-communicative[-2];Micromanaging[-2],39
Ursola,Communicative[2];Problem-Solver[3];Reliable[3];Defensive[-1];Overly Critical[-2],0
Marice,Tech-Savvy[2];Flexible[2];Mediator[2];Intolerant[-2];Pessimistic[-1],31
Maryjane,Resourceful[2];Analytical[3];Leadership[4];Aloof[-1];Resistant to Change[-2],24
Bili,Time-Manager[3];Mediator[2];Reliable[3];Intolerant[-2];Pessimistic[-1],34
Isa,Resourceful[2];Organized[2];Tech-Savvy[2];Narrow-Minded[-2];Conflict-Averse[-2],7
Vida,Creative Thinker[2];Logical[3];Organized[2];Resistant to Change[-2];Uncooperative[-2],2
Isabella,Analytical[3];Strategic[3];Communicative[2];Indecisive[-2];Dismissive[-2],32
Deni,Empathetic[3];Logical[3];Problem-Solver[3];Procrastinator[-3];Impatient[-1],31
Marabel,Collaborative[2];Logical[3];Creative Thinker[2];Dismissive[-2];Non-communicative[-2],30
Dorthy,Creative Thinker[2];Leadership[4];Time-Manager[3];Impatient[-1];Moody[-1],11
Margaret,Detail-Oriented[3];Mediator[2];Innovative[2];Impulsive[-1];Moody[-1],3
Marylinda,Problem-Solver[3];Collaborative[2];Supportive[2];Dismissive[-2];Aloof[-1],1
Naoma,Reliable[3];Tech-Savvy[2];Creative Thinker[2];Passive[-1];Easily Distracted[-1],14
Bernardine,Empathetic[3];Innovative[2];Communicative[2];Non-communicative[-2];Narrow-Minded[-2],33
Lisetta,Communicative[2];Diplomatic[2];Flexible[2];Intolerant[-2];Aloof[-1],9
Tania,Flexible[2];Communicative[2];Problem-Solver[3];Rigid[-2];Unreliable[-3],38
Alecia,Logical[3];Reliable[3];Creative Thinker[2];Non-communicative[-2];Unreliable[-3],19
Pam,Resourceful[2];Time-Manager[3];Flexible[2];Unempathetic[-2];Moody[-1],2
Chickie,Supportive[2];Leadership[4];Logical[3];Micromanaging[-2];Aloof[-1],2
Kris,Diplomatic[2];Organized[2];Creative Thinker[2];Indecisive[-2];Micromanaging[-2],27
Elisa,Innovative[2];Detail-Oriented[3];Organized[2];Conflict-Averse[-2];Narrow-Minded[-2],37
Grissel,Creative Thinker[2];Communicative[2];Problem-Solver[3];Pessimistic[-1];Rigid[-2],20
Sheri,Strategic[3];Leadership[4];Organized[2];Micromanaging[-2];Moody[-1],11
Alvinia,Problem-Solver[3];Communicative[2];Mediator[2];Unempathetic[-2];Indecisive[-2],3
Aurelie,Communicative[2];Logical[3];Creative Thinker[2];Unempathetic[-2];Easily Distracted[-1],15
Elset,Tech-Savvy[2];Diplomatic[2];Innovative[2];Micromanaging[-2];Narrow-Minded[-2],36
Catina,Time-Manager[3];Reliable[3];Mediator[2];Overbearing[-1];Defensive[-1],21
Caryl,Flexible[2];Collaborative[2];Detail-Oriented[3];Narrow-Minded[-2];Rigid[-2],3
Jorrie,Tech-Savvy[2];Problem-Solver[3];Mediator[2];Conflict-Averse[-2];Dismissive[-2],0
Raine,Analytical[3];Strategic[3];Communicative[2];Unreliable[-3];Narrow-Minded[-2],9
Gypsy,Empathetic[3];Analytical[3];Tech-Savvy[2];Dismissive[-2];Aloof[-1],14
Beatriz,Resourceful[2];Strategic[3];Organized[2];Dismissive[-2];Conflict-Averse[-2],21
Alfi,Innovative[2];Problem-Solver[3];Tech-Savvy[2];Rigid[-2];Skeptical[-1],38
Rebekah,Communicative[2];Collaborative[2];Creative Thinker[2];Indecisive[-2];Impulsive[-1],40
Ruthi,Leadership[4];Time-Manager[3];Problem-Solver[3];Pessimistic[-1];Micromanaging[-2],34
Guillemette,Mediator[2];Supportive[2];Logical[3];Intolerant[-2];Unempathetic[-2],19
Cassey,Detail-Oriented[3];Diplomatic[2];Reliable[3];Micromanaging[-2];Resistant to Change[-2],26
Corella,Mediator[2];Collaborative[2];Supportive[2];Indecisive[-2];Overly Critical[-2],32
Fallon,Problem-Solver[3];Resourceful[2];Organized[2];Moody[-1];Skeptical[-1],35
Hollie,Innovative[2];Problem-Solver[3];Collaborative[2];Indecisive[-2];Defensive[-1],35
Georgena,Creative Thinker[2];Tech-Savvy[2];Supportive[2];Unreliable[-3];Moody[-1],33
Brinna,Leadership[4];Time-Manager[3];Organized[2];Unempathetic[-2];Impulsive[-1],22
Joanna,Leadership[4];Detail-Oriented[3];Reliable[3];Indecisive[-2];Overly Competitive[-1],24
George,Diplomatic[2];Creative Thinker[2];Mediator[2];Overly Critical[-2];Perfectionist (to a fault)[-1],3
Carmelita,Creative Thinker[2];Reliable[3];Logical[3];Dismissive[-2];Impulsive[-1],1
Blair,Flexible[2];Resourceful[2];Diplomatic[2];Defensive[-1];Intolerant[-2],3
Brooks,Organized[2];Leadership[4];Diplomatic[2];Uncooperative[-2];Impulsive[-1],38
Arleta,Logical[3];Collaborative[2];Empathetic[3];Uncooperative[-2];Conflict-Averse[-2],33
Sarajane,Flexible[2];Supportive[2];Organized[2];Easily Distracted[-1];Procrastinator[-3],13
Glynnis,Tech-Savvy[2];Leadership[4];Time-Manager[3];Uncooperative[-2];Narrow-Minded[-2],15
Reba,Tech-Savvy[2];Innovative[2];Diplomatic[2];Passive[-1];Defensive[-1],5
Becka,Strategic[3];Resourceful[2];Collaborative[2];Impulsive[-1];Unreliable[-3],31
Rhetta,Supportive[2];Logical[3];Strategic[3];Overly Critical[-2];Rigid[-2],7
Toma,Collaborative[2];Problem-Solver[3];Innovative[2];Micromanaging[-2];Uncooperative[-2],12
Eartha,Reliable[3];Communicative[2];Detail-Oriented[3];Uncooperative[-2];Overbearing[-1],40
Timothea,Organized[2];Problem-Solver[3];Strategic[3];Overly Competitive[-1];Unempathetic[-2],33
Ardys,Organized[2];Diplomatic[2];Detail-Oriented[3];Rigid[-2];Overly Competitive[-1],17
Ailyn,Tech-Savvy[2];Empathetic[3];Organized[2];Overbearing[-1];Easily Distracted[-1],11
Luci,Communicative[2];Time-Manager[3];Reliable[3];Stubborn[-1];Unreliable[-3],37
Caron,Logical[3];Supportive[2];Leadership[4];Conflict-Averse[-2];Overly Competitive[-1],9
Brianna,Strategic[3];Communicative[2];Collaborative[2];Overly Critical[-2];Uncooperative[-2],22
Deidre,Supportive[2];Collaborative[2];Analytical[3];Unreliable[-3];Passive[-1],37
Ida,Diplomatic[2];Tech-Savvy[2];Flexible[2];Unreliable[-3];Dismissive[-2],23
